Time,Money,Total Income, Factory Income, Click Income,Quartz Click Power,Quartz Factories,Quartz Factory Cost,Topaz Click Power,Topaz Factories,Topaz Factory Cost,Amethyst Click Power,Amethyst Factories,Amethyst Factory Cost,Sapphire Click Power,Sapphire Factories,Sapphire Factory Cost,Emerald Click Power,Emerald Factories,Emerald Factory Cost,Ruby Click Power,Ruby Factories,Ruby Factory Cost,Diamond Click Power,Diamond Factories,Diamond Factory Cost,Rainbow Click Power,Rainbow Factories,Rainbow Factory Cost,
31,59418.46390994808,108,108,0,1,25,395.02743143747523,1,7,399.0029820703122,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
32,65559.46092787776,109,109,0,1,25,395.02743143747523,1,8,458.85342938085904,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
33,72424.4334964403,121,121,0,1,26,454.2815461530965,1,8,458.85342938085904,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
34,79285.58006705943,122,122,0,1,26,454.2815461530965,1,9,527.6814437879879,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
35,86871.29852090633,134,134,0,1,27,522.4237780760609,1,9,527.6814437879879,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
36,94443.61707711834,135,135,0,1,27,522.4237780760609,1,10,606.833660356186,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
37,102741.19329904228,147,147,0,1,28,600.7873447874699,1,10,606.833660356186,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
38,111014.35963868609,148,148,0,1,28,600.7873447874699,1,11,697.8587094096139,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
39,120013.57229389861,160,160,0,1,29,690.9054465055904,1,11,697.8587094096139,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
40,128975.713584489,161,161,0,1,29,690.9054465055904,1,12,802.5375158210558,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
41,138664.80813798343,173,173,0,1,30,794.541263481429,1,12,802.5375158210558,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
42,148302.27062216238,174,174,0,1,30,794.541263481429,1,13,922.9181431942142,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
43,158667.72935868095,186,186,0,1,31,913.7224530036431,1,13,922.9181431942142,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
44,168964.81121548673,187,187,0,1,31,913.7224530036431,1,14,1061.3558646733463,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
45,179991.0887624831,199,199,0,1,32,1050.7808209541895,1,14,1061.3558646733463,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
46,190929.73289780974,200,200,0,1,32,1050.7808209541895,1,15,1220.559244374348,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
47,202598.95207685555,212,212,0,1,33,1208.3979440973176,1,15,1220.559244374348,0,0,2000,0,0,33000,0,0,450000,0,0,5250000,0,0,22500000,0,0,1000000000,
